OntoClass,OntoProperty,AntMin,AntMax,DataMin,DataMax,Mean,Mode,Quad. Mean,Kurtosis,Std. Deviation,Skewness,Variance,98P,2P,75P,25P,"Dist, Card.",Dist. Mean.,Dist. Quad. Mean.,Dist. Kur.,Dist. Std. Devi.,Dist. Skew.,Dist. Vari.,P. Min.,P. Max.,P. Mode.,P. 0,P.1,P. Mean,P. Quad. Mean.,P. Kurtosis.,P. Std. Dev.,P. Skew.,P. Vari.
dbo:Food,http://www.w3.org/ns/prov#wasDerivedFrom,M0,M1,0,1,0.37115,0,0.60922,-1.71775,0.48333,0.53411,0.2336,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.37115,0.62885,0.62885,0.62885,0.37115,0.5,0.51633,0,0.18222,0,0.0332
dbo:Food,foaf:isPrimaryTopicOf,M0,M1,0,1,0.37115,0,0.60922,-1.71775,0.48333,0.53411,0.2336,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.37115,0.62885,0.62885,0.62885,0.37115,0.5,0.51633,0,0.18222,0,0.0332
dbo:Food,dbo:wikiPageLength,M0,M1,0,1,0.37115,0,0.60922,-1.71775,0.48333,0.53411,0.2336,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.37115,0.62885,0.62885,0.62885,0.37115,0.5,0.51633,0,0.18222,0,0.0332
dbo:Food,dbo:wikiPageOutDegree,M0,M1,0,1,0.37115,0,0.60922,-1.71775,0.48333,0.53411,0.2336,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.37115,0.62885,0.62885,0.62885,0.37115,0.5,0.51633,0,0.18222,0,0.0332
dbo:Food,foaf:homepage,,,0,2,0.31135,0,0.57353,-0.31818,0.48188,1.05055,0.2322,1,0,1,0,3,1,1.29099,0,1,0,1,0.0088,0.69745,0.69745,0.69745,0.29376,0.33333,0.43696,0,0.34603,0.50796,0.11974
dbo:Food,dbo:related,,,0,12,0.24978,0,0.98538,51.78056,0.95362,6.20102,0.90939,3,0,0,0,10,5.3,6.58027,-0.96734,4.11096,0.46347,16.9,0.00088,0.89446,0.89446,0.89446,0.03694,0.1,0.28341,9.92499,0.27952,3.14635,0.07813
dbo:Food,http://wikidata.dbpedia.org/property/nombre,,,0,8,0.22076,0,0.56659,46.02748,0.52204,4.52313,0.27253,2,0,0,0,5,2.8,3.94968,2.6751,3.11448,1.54913,9.7,0.00088,0.80827,0.80827,0.80827,0.17062,0.2,0.36952,4.10939,0.34739,2.02128,0.12068
dbo:Food,dbp:certificación,,,0,5,0.19525,0,0.77901,26.00439,0.75448,4.94582,0.56924,3,0,0,0,6,2.5,3.02765,-1.2,1.87083,0,3.5,0.00352,0.90237,0.90237,0.90237,0.05981,0.16667,0.3693,5.93109,0.361,2.43212,0.13032
dbo:Food,dbp:tipo,,,0,4,0.19173,0,0.49625,11.05075,0.45791,2.81926,0.20969,1,0,0,0,4,1.75,2.29129,0.34286,1.70783,0.75284,2.91667,0.00176,0.83026,0.83026,0.83026,0.15128,0.25,0.42205,3.36119,0.39264,1.83284,0.15416
dbo:Food,http://wikidata.dbpedia.org/property/certificación,,,0,5,0.18646,0,0.7561,27.63854,0.73307,5.07948,0.53739,3,0,0,0,6,2.5,3.02765,-1.2,1.87083,0,3.5,0.00264,0.90501,0.90501,0.90501,0.05981,0.16667,0.37036,5.93,0.36231,2.43186,0.13127
dbo:Food,dbp:lecheDe,,,0,3,0.1847,0,0.43586,2.64183,0.39497,1.84118,0.156,1,0,0,0,3,1.33333,1.82574,0,1.52753,0.93522,2.33333,0.00088,0.81706,0.81706,0.81706,0.18206,0.33333,0.4833,0,0.4286,1.39041,0.1837
dbo:Food,dbo:distributor,,,0,2,0.17766,0,0.42565,1.47265,0.38697,1.77982,0.14975,1,0,0,0,3,1,1.29099,0,1,0,1,0.00176,0.8241,0.8241,0.8241,0.17414,0.33333,0.4863,0,0.43367,1.42928,0.18807
dbo:Food,http://wikidata.dbpedia.org/property/foto,,,0,1,0.16271,0,0.40337,1.35148,0.36926,1.83006,0.13635,1,0,0,0,2,0.5,0.70711,0,0.70711,0,0.5,0.16271,0.83729,0.83729,0.83729,0.16271,0.5,0.60313,0,0.477,0,0.22753
dbo:Food,dbp:foto,,,0,1,0.16271,0,0.40337,1.35148,0.36926,1.83006,0.13635,1,0,0,0,2,0.5,0.70711,0,0.70711,0,0.5,0.16271,0.83729,0.83729,0.83729,0.16271,0.5,0.60313,0,0.477,0,0.22753
dbo:Food,http://dbpedia.org/property/certificación,,,0,5,0.16007,0,0.69297,33.12138,0.67453,5.52004,0.45499,3,0,0,0,6,2.5,3.02765,-1.2,1.87083,0,3.5,0.00264,0.91645,0.91645,0.91645,0.05365,0.16667,0.37484,5.94484,0.36779,2.43555,0.13527
dbo:Food,http://wikidata.dbpedia.org/property/lecheDe,,,0,1,0.15831,0,0.39788,1.51669,0.36519,1.87457,0.13337,1,0,0,0,2,0.5,0.70711,0,0.70711,0,0.5,0.15831,0.84169,0.84169,0.84169,0.15831,0.5,0.6056,0,0.48322,0,0.2335
dbo:Food,dbp:introducido,,,0,9,0.15567,0,0.52131,120.33232,0.49775,8.31844,0.24775,1,0,0,0,6,3.66667,4.89898,-1.13767,3.55903,0.76899,12.66667,0.00088,0.8628,0.8628,0.8628,0.13105,0.16667,0.35628,5.50784,0.34495,2.33373,0.11899
dbo:Food,http://wikidata.dbpedia.org/property/introducido,,,0,9,0.15567,0,0.52131,120.33232,0.49775,8.31844,0.24775,1,0,0,0,6,3.66667,4.89898,-1.13767,3.55903,0.76899,12.66667,0.00088,0.8628,0.8628,0.8628,0.13105,0.16667,0.35628,5.50784,0.34495,2.33373,0.11899
dbo:Food,http://wikidata.dbpedia.org/property/país,,,0,2,0.14776,0,0.38894,2.81891,0.35994,2.10078,0.12956,1,0,0,0,3,1,1.29099,0,1,0,1,0.00176,0.854,0.854,0.854,0.14424,0.33333,0.50004,0,0.45651,1.54417,0.2084
dbo:Food,dbp:país,,,0,2,0.14776,0,0.38894,2.81891,0.35994,2.10078,0.12956,1,0,0,0,3,1,1.29099,0,1,0,1,0.00176,0.854,0.854,0.854,0.14424,0.33333,0.50004,0,0.45651,1.54417,0.2084
dbo:Food,http://wikidata.dbpedia.org/property/añejamiento,,,0,5,0.14248,0,0.41307,27.17749,0.38789,3.83277,0.15046,1,0,0,0,4,2.25,2.95804,-1.69951,2.21736,0.48156,4.91667,0.00088,0.86456,0.86456,0.86456,0.13281,0.25,0.43735,3.51443,0.41437,1.87161,0.1717
dbo:Food,dbp:región,,,0,8,0.14248,0,0.46514,90.75022,0.44298,6.66934,0.19623,1,0,0,0,5,2.8,3.94968,2.6751,3.11448,1.54913,9.7,0.00088,0.87511,0.87511,0.87511,0.11346,0.2,0.39466,4.67145,0.38039,2.15268,0.1447
dbo:Food,http://dbpedia.org/property/nombre,,,0,2,0.14248,0,0.37979,2.67532,0.3522,2.10875,0.12405,1,0,0,0,3,1,1.29099,0,1,0,1,0.00088,0.8584,0.8584,0.8584,0.14072,0.33333,0.50221,0,0.46006,1.55376,0.21166
