"Class","DataMin","DataMax","Mean","Mode","Quad..Mean","Kurtosis","Std..Deviation","Skewness","Variance","X98P","X2P","X75P","X25P","Dist..Card.","Dist..Mean.","Dist..Quad..Mean.","Dist..Kur.","Dist..Std..Devi.","Dist..Skew.","Dist..Vari.","P..Min.","P..Max.","P..Mode.","P..0","P.1","P..Mean","P..Quad..Mean.","P..Kurtosis.","P..Std..Dev.","P..Skew.","P..Vari."
"M1",0,40,0.1726,0,0.89734,229.36808,0.8806,10.93792,0.77545,3,0,0,0,23,12.91304,16.25744,1.06793,10.09911,1.05535,101.99209,2e-05,0.9272,0.9272,0.9272,0.03636,0.04348,0.19352,22.91011,0.19281,4.78264,0.03718
"ANY",0,63,0.16702,0,0.8986,648.66844,0.88296,15.03364,0.77961,3,0,0,0,21,12.95238,18.78956,8.27129,13.94803,2.61549,194.54762,2e-05,0.93081,0.93081,0.93081,0.03548,0.04762,0.20329,20.92538,0.20252,4.57116,0.04101
"M1",0,2,0.16494,0,0.41754,2.98439,0.38359,2.05265,0.14714,1,0,0,0,3,1,1.29099,0,1,0,1,0.0047,0.83976,0.83976,0.83976,0.15554,0.33333,0.49309,0,0.44501,1.51086,0.19804
"ANY",0,3729,25.93144,0,42.90105,374.96148,34.17691,8.94428,1168.06089,115,0,34,8,784,451.00383,601.49456,17.61277,398.23804,3.2185,158593.5364,0,0.22098,0.22098,0.22098,7e-05,0.00128,0.00878,524.00332,0.00869,21.04964,8e-05
"ANY",1,63,11.66142,11,12.43993,1.29582,4.33166,-0.62161,18.76325,20,1,14,11,49,25.34694,29.37374,-0.69555,14.99799,0.22129,224.93963,0,0.25452,0.25452,0,0.06028,0.02041,0.04795,16.68739,0.04384,3.64269,0.00192
"ANY",0,241,6.13997,0,8.15558,8.77513,5.3679,1.54515,28.81434,20,0,9,2,90,49.14444,62.97821,8.60649,39.60438,2.27657,1568.50699,0,0.22139,0.22139,0.22139,0.01061,0.01111,0.03294,24.03401,0.03118,4.39557,0.00097
"ANY",0,254,5.43308,0,7.30588,10.93885,4.88442,1.70458,23.85752,18,0,8,2,87,46.58621,58.82714,11.61962,36.12979,2.39772,1305.36167,0,0.22341,0.22341,0.22341,0.01778,0.01149,0.03397,22.51659,0.03215,4.24788,0.00103
"ANY",0,127,4.35471,3,7.25275,52.88223,5.7999,5.56512,33.63885,21,0,5,2,128,63.5,73.46768,-1.2,37.09447,0,1376,0,0.32973,0.32973,0.22581,0.00048,0.00781,0.03855,50.26588,0.0379,6.81518,0.00144
"ANY",0,511,1.56953,1,3.11403,2149.57678,2.68956,25.95761,7.23375,7,0,2,1,166,95.13253,122.84386,6.34419,77.95527,2.00118,6077.02475,0,0.45115,0.45115,0.20629,0.45115,0.00602,0.0419,85.61302,0.04159,8.82342,0.00173
"ANY",0,1175,1.47958,2,4.37668,18384.81474,4.119,117.32545,16.96616,3,0,2,1,280,222.74286,296.29749,2.65135,195.7413,1.48243,38314.65765,0,0.39787,0.39787,0.1646,0.34532,0.00357,0.03335,112.80146,0.03322,10.4245,0.0011
"ANY",0,707,1.16246,0,3.20043,3552.23612,2.98185,27.52745,8.89143,8,0,1,0,154,96.78571,137.41796,13.31065,97.86939,3.08463,9578.41783,0,0.58994,0.58994,0.58994,0.17632,0.00649,0.05046,121.90084,0.0502,10.69061,0.00252
"ANY",0,1176,1.01339,1,4.28415,18269.15209,4.16257,116.74523,17.327,2,0,2,0,273,224.87546,301.56113,2.43856,201.29224,1.45984,40518.56531,0,0.3904,0.3904,0.33548,0.3904,0.00366,0.03504,96.03409,0.03491,9.76604,0.00122
"ANY",0,15,0.97304,0,1.39288,-1.95624,0.99664,0.05952,0.9933,2,0,2,0,8,4.5,6.2849,4.14215,4.69042,1.86066,22,0,0.50994,0.50994,0.50994,0.00741,0.125,0.24821,0.028,0.22924,1.44407,0.05255
"M1",0,2,0.77905,1,0.88264,-0.19048,0.41489,-1.34513,0.17213,1,0,1,1,3,1,1.29099,0,1,0,1,0,0.77905,0.77905,0.22095,0.77905,0.33333,0.46752,0,0.4015,1.16088,0.1612
"M1",0,2,0.77905,1,0.88264,-0.19048,0.41489,-1.34513,0.17213,1,0,1,1,3,1,1.29099,0,1,0,1,0,0.77905,0.77905,0.22095,0.77905,0.33333,0.46752,0,0.4015,1.16088,0.1612
"M1",0,2,0.77905,1,0.88264,-0.19048,0.41489,-1.34513,0.17213,1,0,1,1,3,1,1.29099,0,1,0,1,0,0.77905,0.77905,0.22095,0.77905,0.33333,0.46752,0,0.4015,1.16088,0.1612
"M1",0,2,0.77905,1,0.88264,-0.19048,0.41489,-1.34513,0.17213,1,0,1,1,3,1,1.29099,0,1,0,1,0,0.77905,0.77905,0.22095,0.77905,0.33333,0.46752,0,0.4015,1.16088,0.1612
"M1",0,2,0.77905,1,0.88264,-0.19048,0.41489,-1.34513,0.17213,1,0,1,1,3,1,1.29099,0,1,0,1,0,0.77905,0.77905,0.22095,0.77905,0.33333,0.46752,0,0.4015,1.16088,0.1612
"M1",0,1,0.77905,1,0.88264,-0.19053,0.41489,-1.34517,0.17213,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.22095,0.77905,0.77905,0.22095,0.77905,0.5,0.5726,0,0.39463,0,0.15573
"M1",0,1,0.77905,1,0.88264,-0.19053,0.41489,-1.34517,0.17213,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.22095,0.77905,0.77905,0.22095,0.77905,0.5,0.5726,0,0.39463,0,0.15573
"M1",0,1,0.76408,1,0.87412,-0.45248,0.42457,-1.24399,0.18026,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.23592,0.76408,0.76408,0.23592,0.76408,0.5,0.56545,0,0.37347,0,0.13948
"M1",0,1,0.76407,1,0.87411,-0.45262,0.42458,-1.24394,0.18027,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.23593,0.76407,0.76407,0.23593,0.76407,0.5,0.56545,0,0.37346,0,0.13947
"M1",0,1,0.72557,1,0.8518,-0.9779,0.44623,-1.01099,0.19912,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.27443,0.72557,0.72557,0.27443,0.72557,0.5,0.54853,0,0.319,0,0.10176
"ANY",0,33,0.64322,0,1.14747,4.53663,0.95025,1.44569,0.90297,3,0,1,0,25,12.8,15.44539,-0.15697,8.82232,0.5849,77.83333,0,0.62563,0.62563,0.62563,0.16292,0.04,0.13354,18.69776,0.13003,4.18423,0.01691
"ANY",0,34,0.57246,0,1.04059,9.86388,0.86898,1.71366,0.75513,3,0,1,0,28,14.10714,16.79817,-0.61378,9.28695,0.38027,86.24735,0,0.63304,0.63304,0.63304,0.20327,0.03571,0.12804,20.76499,0.12521,4.41827,0.01568
"M1",0,25,0.5591,1,0.77035,15.09538,0.52995,0.66621,0.28085,1,0,1,0,21,10.38095,12.36739,-0.57463,6.88822,0.35649,47.44762,0,0.53136,0.53136,0.45503,0.53136,0.04762,0.15269,7.88905,0.14865,3.00862,0.0221
"ANY",0,20,0.53106,0,1.79309,23.88587,1.71264,4.6083,2.93315,7,0,0,0,21,10,11.69045,-1.2,6.20484,0,38.5,0,0.81069,0.81069,0.81069,0.11978,0.04762,0.17889,19.99021,0.1767,4.43806,0.03122
