"Class","DataMin","DataMax","Mean","Mode","Quad..Mean","Kurtosis","Std..Deviation","Skewness","Variance","X98P","X2P","X75P","X25P","Dist..Card.","Dist..Mean.","Dist..Quad..Mean.","Dist..Kur.","Dist..Std..Devi.","Dist..Skew.","Dist..Vari.","P..Min.","P..Max.","P..Mode.","P..0","P.1","P..Mean","P..Quad..Mean.","P..Kurtosis.","P..Std..Dev.","P..Skew.","P..Vari."
"M0",0,1,0.07763,0,0.27862,7.98919,0.26766,3.15928,0.07164,1,0,0,0,2,0.5,0.70711,0,0.70711,0,0.5,0.07763,0.92237,0.92237,0.92237,0.07763,0.5,0.65452,0,0.59732,0,0.35679
"M0",0,4,0.20685,0,0.45577,0.22138,0.40613,1.46754,0.16494,1,0,0,0,5,2,2.44949,-1.2,1.58114,0,2.5,0,0.79359,0.79359,0.79359,0.20597,0.2,0.36666,3.56468,0.34359,1.9025,0.11805
"M0",0,4,0.08478,0,0.42279,49.83681,0.41431,6.56929,0.17165,1,0,0,0,5,2,2.44949,-1.2,1.58114,0,2.5,0.00255,0.9428,0.9428,0.9428,0.04443,0.2,0.42211,4.96412,0.4156,2.22638,0.17273
"M0",0,9,0.1556,0,0.5869,15.4354,0.5659,3.89035,0.32024,2,0,0,0,9,4.11111,4.95536,-0.76046,2.93447,0.24184,8.61111,1e-05,0.91849,0.91849,0.91849,0.02614,0.11111,0.3066,8.94513,0.30309,2.98782,0.09186
"M0",0,5,0.4799,0,0.73665,0.01372,0.55889,0.69516,0.31236,2,0,1,0,6,2.5,3.02765,-1.2,1.87083,0,3.5,7e-05,0.54968,0.54968,0.54968,0.42218,0.16667,0.28317,-1.21336,0.25078,1.07191,0.06289
"M0",0,152,0.3784,0,1.28597,895.61865,1.22904,19.55323,1.51053,3,0,0,0,74,39.45946,48.07595,2.3926,27.65105,1.08833,764.58053,0,0.78344,0.78344,0.78344,0.12859,0.01351,0.09256,69.23867,0.0922,8.22507,0.0085
"M0",0,57,0.33258,0,1.39367,146.15424,1.35341,8.68105,1.83171,4,0,0,0,38,20.13158,24.41473,0.17376,13.9984,0.7065,195.95519,1e-05,0.8979,0.8979,0.8979,0.00973,0.02632,0.14594,37.69789,0.14548,6.12977,0.02116
"M0",0,16,0.23049,0,0.89052,28.72095,0.86018,4.81596,0.7399,3,0,0,0,16,7.5625,8.91277,-1.06286,4.87126,0.08273,23.72917,1e-05,0.90601,0.90601,0.90601,0.03252,0.0625,0.22679,15.92344,0.22516,3.98667,0.0507
"M0",0,10,0.14333,0,0.48234,63.01674,0.46057,5.86667,0.21213,1,0,0,0,11,5,5.91608,-1.2,3.31662,0,11,7e-05,0.88078,0.88078,0.88078,0.10478,0.09091,0.26746,10.58896,0.26381,3.23782,0.0696
"M0",0,119,10.91879,3,18.92387,10.64956,15.46011,2.99965,239.01486,64,0,12,3,91,47.40659,56.17927,-0.67138,30.31207,0.37825,918.82173,0.00051,0.26864,0.26864,0.02503,0.00715,0.01099,0.03449,44.09081,0.03287,6.1734,0.00108
"M0",0,32,1.07763,1,1.30878,31.92469,0.74272,2.50337,0.55163,3,0,1,1,20,10.5,13.0269,1.41101,7.91069,1.03199,62.57895,0,0.68189,0.68189,0.14891,0.68189,0.05,0.15888,16.58411,0.15473,3.97592,0.02394
"M0",0,887,1.09696,0,3.00798,14254.13248,2.80082,63.56053,7.84461,7,0,1,0,129,91.54264,143.35593,22.71521,110.75176,4.00617,12265.95325,0,0.54695,0.54695,0.54695,0.23091,0.00775,0.0532,88.41904,0.05283,9.07011,0.00279
"M0",0,27,0.94065,0,2.18908,11.4787,1.97668,3.1866,3.90727,9,0,1,0,24,11.91667,14.14803,-0.7658,7.79028,0.30207,60.68841,0,0.64273,0.64273,0.64273,0.17684,0.04167,0.13711,19.87854,0.13344,4.36168,0.01781
"M0",0,1,0.34237,0,0.58512,-1.5586,0.47451,0.66443,0.22516,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.34237,0.65763,0.65763,0.65763,0.34237,0.5,0.52426,0,0.22292,0,0.0497
"M0",0,4,0.06004,0,0.27816,31.53318,0.27161,5.17956,0.07377,1,0,0,0,5,2,2.44949,-1.2,1.58114,0,2.5,7e-05,0.94781,0.94781,0.94781,0.04507,0.2,0.42436,4.95946,0.41846,2.22513,0.17511
"M0",0,1,0.6351,1,0.79693,-1.68513,0.48142,-0.56133,0.23176,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.3649,0.6351,0.6351,0.3649,0.6351,0.5,0.51793,0,0.19106,0,0.0365
"M0",0,5,0.35048,0,0.59342,-1.48719,0.47886,0.65192,0.22931,1,0,1,0,6,2.5,3.02765,-1.2,1.87083,0,3.5,0,0.65033,0.65033,0.65033,0.3489,0.16667,0.30129,0.96389,0.27495,1.45396,0.0756
"M0",0,17,2.74821,1,3.35178,4.476,1.91928,1.63291,3.68363,8,1,4,1,16,7.6875,9.12757,-0.87997,5.08224,0.21168,25.82917,0.00051,0.28345,0.28345,0.01685,0.28345,0.0625,0.11067,1.31994,0.09433,1.58687,0.0089
"M0",0,6,0.09047,0,0.31347,19.51203,0.30014,3.60767,0.09008,1,0,0,0,5,2.4,3.16228,1.12852,2.30217,1.03266,5.3,7e-05,0.91262,0.91262,0.91262,0.08469,0.2,0.40989,4.82891,0.40002,2.19161,0.16001
"M0",0,149,0.44299,0,2.49105,458.46816,2.45137,15.21118,6.00922,5,0,0,0,53,30.26415,39.66891,7.56473,25.89116,2.17899,670.35196,2e-05,0.86449,0.86449,0.86449,0.07777,0.01887,0.11928,52.03359,0.1189,7.18729,0.01414
"M0",0,1,0.95869,1,0.97913,19.25324,0.199,-4.6101,0.0396,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.04131,0.95869,0.95869,0.04131,0.95869,0.5,0.67853,0,0.64869,0,0.4208
"M0",0,9,1.40379,0,2.30849,-1.05353,1.83263,0.74501,3.35853,5,0,3,0,10,4.5,5.33854,-1.2,3.02765,0,9.16667,0,0.60263,0.60263,0.60263,0.00331,0.1,0.20236,7.53283,0.18544,2.66136,0.03439
"M0",0,1176,1.01339,1,4.28415,18269.15209,4.16257,116.74523,17.327,2,0,2,0,273,224.87546,301.56113,2.43856,201.29224,1.45984,40518.56531,0,0.3904,0.3904,0.33548,0.3904,0.00366,0.03504,96.03409,0.03491,9.76604,0.00122
