"AntMin","DataMin","DataMax","Mean","Mode","Quad..Mean","Kurtosis","Std..Deviation","Skewness","Variance","X98P","X2P","X75P","X25P","Dist..Card.","Dist..Mean.","Dist..Quad..Mean.","Dist..Kur.","Dist..Std..Devi.","Dist..Skew.","Dist..Vari.","P..Min.","P..Max.","P..Mode.","P..0","P.1","P..Mean","P..Quad..Mean.","P..Kurtosis.","P..Std..Dev.","P..Skew.","P..Vari."
"M0",0,1,0.07763,0,0.27862,7.98919,0.26766,3.15928,0.07164,1,0,0,0,2,0.5,0.70711,0,0.70711,0,0.5,0.07763,0.92237,0.92237,0.92237,0.07763,0.5,0.65452,0,0.59732,0,0.35679
"M0",0,33,0.98236,0,1.55482,12.11436,1.20518,2.31091,1.45246,4,0,1,0,20,10.3,12.78671,2.50856,7.77378,1.21869,60.43158,1e-05,0.41057,0.41057,0.41057,0.36723,0.05,0.12716,5.93425,0.11996,2.62617,0.01439
"M0",0,1,0.23983,0,0.48972,-0.51487,0.42698,1.21866,0.18231,1,0,0,0,2,0.5,0.70711,0,0.70711,0,0.5,0.23983,0.76017,0.76017,0.76017,0.23983,0.5,0.56364,0,0.36794,0,0.13538
"M0",0,1,0.34237,0,0.58512,-1.5586,0.47451,0.66443,0.22516,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.34237,0.65763,0.65763,0.65763,0.34237,0.5,0.52426,0,0.22292,0,0.0497
"M0",0,1,0.61142,1,0.78193,-1.79106,0.48743,-0.45717,0.23759,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.38858,0.61142,0.61142,0.38858,0.61142,0.5,0.51226,0,0.15757,0,0.02483
"M0",0,3234,48.75764,0,95.13496,162.35884,81.691,8.72958,6673.41953,260,0,58,10,811,493.82737,652.97909,6.86881,427.4828,2.09951,182741.5455,1e-05,0.1941,0.1941,0.1941,9e-05,0.00123,0.0074,602.30184,0.0073,22.96428,5e-05
"M0",0,36,0.2853,0,1.34807,36.39372,1.31754,5.66014,1.73591,6,0,0,0,25,12.48,14.99333,0.84366,8.48096,0.7133,71.92667,0,0.93616,0.93616,0.93616,0.00993,0.04,0.18728,24.98028,0.18673,4.99716,0.03487
"M0",0,2,0.45692,0,0.67598,-1.96909,0.49817,0.17328,0.24817,1,0,1,0,3,1,1.29099,0,1,0,1,1e-05,0.54309,0.54309,0.54309,0.4569,0.33333,0.40976,0,0.29186,-1.56365,0.08518
"M0",0,26,0.52709,0,0.86676,34.67064,0.68808,2.69996,0.47346,2,0,1,0,17,9,11.24853,0.86697,6.95521,0.98147,48.375,1e-05,0.54713,0.54713,0.54713,0.39907,0.05882,0.16456,6.52527,0.15842,2.72759,0.0251
"M0",0,1,0.89229,1,0.94461,4.40484,0.31002,-2.53078,0.09611,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.10771,0.89229,0.89229,0.10771,0.89229,0.5,0.63552,0,0.55478,0,0.30778
"M0",0,1,0.95869,1,0.97913,19.25324,0.199,-4.6101,0.0396,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.04131,0.95869,0.95869,0.04131,0.95869,0.5,0.67853,0,0.64869,0,0.4208
"M0",0,119,0.86708,1,1.10418,11429.15681,0.68365,72.51856,0.46738,2,0,1,1,23,22.65217,39.0312,4.78584,32.4998,2.32965,1056.23715,1e-05,0.77734,0.77734,0.18178,0.77734,0.04348,0.16665,20.24486,0.16449,4.43201,0.02706
"M0",0,44,0.92689,1,1.09848,621.33169,0.58953,13.08709,0.34754,2,0,1,1,29,16.68966,20.81114,-0.34638,12.65223,0.74606,160.07882,0,0.80716,0.80716,0.14265,0.80716,0.03448,0.1524,26.95269,0.15107,5.13491,0.02282
"M0",0,20,0.60304,1,0.80602,25.04917,0.5348,1.03369,0.28601,1,0,1,0,13,7.46154,9.56355,0.09383,6.22649,0.92145,38.76923,1e-05,0.57645,0.57645,0.41205,0.57645,0.07692,0.19654,4.33402,0.18825,2.3246,0.03544
"M0",0,9,0.81932,1,0.93195,0.82106,0.44411,-0.76089,0.19723,2,0,1,1,7,3.42857,4.40779,1.27816,2.99205,1.03999,8.95238,0,0.77042,0.77042,0.20516,0.77042,0.14286,0.30148,5.43447,0.28675,2.31629,0.08223
"M0",0,2,0.30148,0,0.54957,-1.21177,0.45951,0.8738,0.21115,1,0,1,0,3,1,1.29099,0,1,0,1,0.00028,0.6988,0.6988,0.6988,0.30092,0.33333,0.43927,0,0.35039,0.41269,0.12277
"M0",0,274,3.6792,1,8.10758,133.4709,7.22472,6.78702,52.1966,22,0,2,0,151,87.95364,109.8022,0.51433,65.95062,0.98573,4349.4845,0,0.38255,0.38255,0.34026,0.38255,0.00662,0.04202,71.67785,0.04163,8.45047,0.00173
"M0",0,16,0.23049,0,0.89052,28.72095,0.86018,4.81596,0.7399,3,0,0,0,16,7.5625,8.91277,-1.06286,4.87126,0.08273,23.72917,1e-05,0.90601,0.90601,0.90601,0.03252,0.0625,0.22679,15.92344,0.22516,3.98667,0.0507
"M0",0,120,5.90912,3,8.4675,30.69556,6.06475,4.44652,36.78116,26,2,6,3,94,48.34043,57.11355,-0.58304,30.57955,0.37847,935.10867,1e-05,0.32409,0.32409,0.0103,0.00618,0.01064,0.04275,39.89724,0.04163,6.02934,0.00173
"M0",0,32,4.34667,4,5.1525,2.72467,2.76674,1.04663,7.65486,11,0,6,2,30,14.7,17.23852,-0.98421,9.15819,0.13866,83.87241,2e-05,0.17195,0.17195,0.06262,0.06435,0.03333,0.06147,1.17214,0.05253,1.5469,0.00276
"M0",0,94,0.26485,0,1.5273,245.716,1.50416,10.56487,2.2625,5,0,0,0,41,22.97561,29.92674,5.07662,19.41454,1.93161,376.92439,1e-05,0.94493,0.94493,0.94493,0.0135,0.02439,0.1476,40.97053,0.14738,6.39977,0.02172
"M0",0,16,0.22399,0,0.87025,28.2062,0.84094,4.77238,0.70717,3,0,0,0,16,7.5625,8.91277,-1.06286,4.87126,0.08273,23.72917,1e-05,0.90945,0.90945,0.90945,0.02842,0.0625,0.22762,15.93108,0.22605,3.98798,0.0511
"M0",0,8,0.40709,0,0.72837,6.25361,0.60399,1.78968,0.36481,2,0,1,0,9,4,4.76095,-1.2,2.73861,0,7.5,2e-05,0.63932,0.63932,0.63932,0.3251,0.11111,0.23926,3.91658,0.22475,2.10402,0.05051
