"DataMin","DataMax","Mean","Mode","Quad..Mean"
0,90,1.82765,1,2.60317
0,33,1.45893,1,1.82835
0,51,0.97226,1,1.05015
0,1,0.96027,1,0.97993
0,1,0.96027,1,0.97993
0,1,0.96027,1,0.97993
0,1,0.96027,1,0.97993
0,27,0.94065,0,2.18908
0,81,0.93154,1,1.08738
0,1,0.92842,1,0.96355
0,44,0.92689,1,1.09848
0,16,0.91541,1,1.14923
0,41,0.85999,1,1.39086
0,1,0.83233,1,0.91232
0,51,0.75112,1,0.97532
0,51,0.75112,1,0.97532
0,26,0.74548,1,0.88443
0,26,0.70132,1,0.88458
0,7,0.69405,1,0.87064
0,37,0.66246,1,1.03679
0,9,0.6585,1,0.82657
0,10,0.65342,1,0.82234
0,36,0.61684,1,0.87653
0,192,0.61473,0,2.68814
0,4827,38.43249,21,75.04361
1,49,8.89904,9,9.34823
0,73,6.91148,6,7.87921
0,120,5.90912,3,8.4675
0,71,2.57105,0,3.80845
0,65,2.28902,0,3.45793
0,514,2.27567,1,4.57777
0,1,0.99026,1,0.99512
0,1,0.99026,1,0.99512
0,1,0.99026,1,0.99512
0,1,0.99026,1,0.99512
0,1,0.99026,1,0.99512
0,33,0.98236,0,1.55482
0,1,0.95939,1,0.97948
0,119,0.91137,1,1.09934
0,325,0.86798,0,2.99374
0,119,0.86708,1,1.10418
0,26,0.83271,1,1.05834
0,21,0.82672,1,1.01816
0,21,0.77617,1,0.96102
0,15,0.72715,0,1.22403
0,608,0.69123,0,3.89678
0,26,0.68354,1,0.92556
0,20,0.60304,1,0.80602
0,30,0.59986,0,1.03935
0,11,0.58279,1,0.78634
0,11,0.58279,1,0.78634
0,21,0.54558,0,1.01116
0,26,0.52709,0,0.86676
0,13,0.49005,0,0.8086
0,13,0.3839,0,0.70367
0,119,10.91879,3,18.92387
1,21,3.97906,1,5.15555
0,17,2.74821,1,3.35178
0,1,0.98519,1,0.99257
0,1,0.98519,1,0.99257
0,1,0.9811,1,0.99051
0,1,0.51634,1,0.71857
0,1,0.51634,1,0.71857
0,4,0.16445,0,0.44972
0,6,0.15986,0,0.774
0,9,0.13279,0,0.65343
0,5,0.13279,0,0.42037
0,257,0.13126,0,5.808
0,234,0.11951,0,5.28822
0,5,0.10266,0,0.37748
0,2,0.08784,0,0.29981
0,3,0.08427,0,0.32671
0,1,0.07763,0,0.27862
0,1,0.0761,0,0.27586
0,887,34.81177,0,48.81157
1,23,8.06561,6,8.40549
0,110,5.91583,4,8.1278
0,32,4.34667,4,5.1525
0,306,3.702,1,7.68577
0,2,0.93778,1,0.96841
0,2,0.93778,1,0.96841
0,2,0.93778,1,0.96841
0,1,0.93776,1,0.96838
0,1,0.93776,1,0.96838
0,20,0.92575,1,1.4072
0,1,0.92241,1,0.96042
0,1,0.92236,1,0.9604
0,13,0.64226,0,1.13464
0,1,0.61142,1,0.78193
0,6,0.59103,1,0.78111
0,6,0.58866,1,0.77953
0,5,0.56138,0,0.996
0,11,0.49141,0,0.85949
0,5,0.4799,0,0.73665
0,10,0.45347,0,0.77377
0,119,0.38782,0,2.05067
0,9,0.37979,0,0.62453
0,23,0.3697,0,0.67363
0,12,0.34412,0,0.66987
0,12,0.31442,0,0.64521
0,2,0.30148,0,0.54957
0,4,0.28706,0,0.54297
0,62,0.27896,0,1.55957
0,288,7.1731,0,10.04703
0,127,5.49587,3,9.0807
0,634,2.77511,0,10.48077
0,541,2.70505,0,16.37736
0,405,0.95501,0,6.85218
0,304,0.94713,0,7.39614
0,432,0.87175,0,9.16794
0,1,0.8059,1,0.89772
0,1,0.8059,1,0.89772
0,1,0.8059,1,0.89772
0,1,0.78756,1,0.88745
0,250,0.66774,0,5.03567
0,1035,0.63691,0,15.07481
0,110,0.50028,0,2.13653
0,99,0.49677,0,1.87374
0,103,0.45484,0,2.0518
0,198,0.37966,0,3.45812
0,79,0.36593,0,0.76844
0,2,0.36497,0,0.60416
0,1,0.36495,0,0.60411
0,233,0.35287,0,2.14054
0,68,0.35123,0,1.76108
0,58,0.34874,0,1.49161
0,154,0.34351,0,3.5149
0,57,0.33258,0,1.39367
0,117,9.26886,3,15.09301
0,129,5.51347,4,6.94421
1,24,5.05716,5,5.86473
0,173,4.6488,1,8.93966
0,52,3.48573,2,4.33619
0,140,1.40453,0,3.56527
0,1,0.99443,1,0.99721
0,1,0.99443,1,0.99721
0,1,0.99443,1,0.99721
0,1,0.99443,1,0.99721
0,1,0.99443,1,0.99721
0,1,0.90261,1,0.95006
0,17,0.83679,0,1.99655
0,1,0.6351,1,0.79693
0,14,0.41695,0,0.67112
0,13,0.38324,0,0.94428
0,5,0.29525,0,0.56316
0,13,0.27698,0,0.58377
0,14,0.27107,0,0.58123
0,20,0.26342,0,0.64144
0,10,0.15219,0,0.58721
0,10,0.14333,0,0.48234
0,18,0.08886,0,0.37115
0,10,0.08577,0,0.32234
0,4,0.0857,0,0.30817
0,26,0.0677,0,0.52399
0,3,0.06649,0,0.28859
0,4,0.06004,0,0.27816
